1000 500
3 373 48
5 614 59
5 22 67
7 535 53
8 446 54
9 728 24
12 365 90
13 537 37
15 475 85
18 882 84
23 419 97
28 272 88
37 206 85
39 656 65
42 268 14
44 152 92
45 421 65
46 451 67
47 53 61
58 159 27
58 30 43
62 92 90
65 138 62
66 893 93
68 479 4
68 934 16
68 969 37
70 448 54
86 545 10
86 432 9
89 855 18
102 205 67
104 739 93
106 735 31
106 283 90
109 470 26
114 654 95
114 295 7
114 659 35
117 49 36
118 961 93
119 539 34
120 494 39
121 958 55
122 413 27
122 580 40
124 496 66
124 783 57
126 113 40
126 890 57
127 613 85
133 970 13
134 788 94
136 357 27
138 581 46
139 994 73
142 442 80
145 568 75
146 764 83
147 666 26
148 864 2
149 949 27
150 667 60
158 446 40
159 53 32
159 493 87
164 31 86
165 683 60
165 28 79
166 300 47
171 545 21
172 415 98
177 9 19
178 301 82
182 366 95
183 55 76
189 712 63
190 726 7
191 282 72
193 811 69
194 122 67
197 57 78
199 163 95
203 26 89
204 758 33
206 739 5
212 648 75
212 980 85
214 297 69
215 512 3
215 925 28
218 680 42
219 936 56
221 809 6
221 587 11
225 704 84
227 83 84
228 858 57
228 105 69
230 230 23
230 792 50
233 557 65
234 634 10
235 723 25
236 181 6
237 800 100
238 724 65
239 197 77
241 299 5
243 226 20
243 433 27
244 651 26
245 631 2
246 77 79
246 530 51
249 344 22
254 27 41
254 25 26
255 254 14
259 208 76
260 598 96
261 643 20
261 451 54
266 766 86
271 433 47
276 136 45
277 399 1
279 529 45
284 6 10
285 50 53
286 662 78
288 204 72
290 336 4
294 980 42
295 249 37
296 186 74
296 120 25
300 360 75
300 470 90
301 673 40
303 435 20
307 155 69
308 212 34
311 478 14
312 330 74
314 190 57
316 389 1
318 419 37
321 848 69
330 522 58
332 465 34
332 334 37
338 230 23
339 318 33
341 578 65
346 999 82
346 764 19
350 439 73
350 959 56
354 987 85
355 204 91
356 57 40
361 430 86
362 283 15
369 729 32
370 778 34
372 554 87
374 191 71
374 6 84
375 848 82
385 856 49
396 741 30
396 990 90
397 761 3
398 64 81
400 521 35
401 489 19
404 751 98
406 957 87
407 209 22
408 278 59
408 313 90
417 707 33
418 695 67
420 908 22
424 833 53
425 51 29
432 48 39
434 569 30
434 558 93
436 375 77
439 80 51
440 837 59
441 649 93
443 546 89
444 198 77
444 682 41
446 767 46
446 156 39
447 515 40
447 348 72
453 706 63
459 546 5
462 161 21
464 793 82
464 77 96
466 123 55
466 728 68
467 791 58
471 789 52
474 283 48
475 242 61
476 821 58
476 254 40
478 996 44
483 357 5
483 547 3
484 575 89
485 570 42
489 327 72
492 65 10
493 84 29
495 380 79
497 179 96
498 398 82
500 42 98
504 785 23
505 474 80
509 276 32
510 820 35
511 194 47
511 882 71
513 139 81
516 889 14
517 190 98
517 834 89
518 412 22
519 256 50
519 276 44
520 999 36
521 27 22
523 336 26
525 500 2
525 251 11
525 280 22
527 853 74
529 223 90
530 181 66
530 148 40
532 511 75
532 299 92
532 736 21
533 408 35
533 899 51
533 700 15
535 341 54
535 508 53
542 349 97
544 630 45
545 19 17
548 930 72
551 57 20
559 223 14
559 931 41
561 262 40
564 688 21
566 778 8
567 65 54
577 336 74
579 718 67
580 337 25
581 170 44
582 968 60
582 835 60
587 338 3
588 338 64
591 426 63
593 796 10
594 432 13
595 283 19
599 847 88
603 85 65
607 631 71
607 859 27
609 423 55
613 626 97
614 359 13
616 497 37
616 277 16
618 168 47
621 614 11
622 2 16
623 456 20
623 46 32
625 973 63
626 850 14
629 475 1
633 718 99
637 375 64
639 127 13
640 176 5
647 883 43
649 795 48
649 595 51
650 828 44
651 995 24
654 121 35
657 124 28
658 987 98
660 746 41
662 148 96
662 14 22
669 982 23
672 916 47
674 264 47
674 590 67
684 23 93
684 155 56
685 791 69
686 653 48
687 824 73
688 719 64
690 998 98
691 946 37
692 953 38
693 382 43
698 656 10
699 863 42
701 742 31
706 183 67
708 295 89
710 380 43
710 735 73
711 496 6
713 682 46
713 144 6
719 57 39
720 551 83
721 908 92
721 844 34
721 8 17
721 344 36
732 364 47
733 623 43
734 134 54
737 470 78
738 898 60
741 118 95
747 381 23
749 378 84
749 262 19
752 986 50
754 931 51
755 814 15
757 98 61
758 863 36
759 453 94
760 784 13
762 428 15
764 934 68
768 137 97
769 535 5
770 643 99
774 298 27
777 595 33
778 105 96
781 277 70
785 595 68
787 128 36
787 111 52
787 365 87
789 229 84
789 169 71
791 510 88
792 175 48
792 648 77
792 665 63
793 501 62
793 479 33
793 757 28
796 355 84
799 865 23
803 387 98
804 245 29
805 561 22
806 398 61
807 477 30
808 993 57
808 86 74
808 668 66
810 386 62
816 876 15
819 354 91
820 542 22
823 833 11
826 412 80
827 993 31
830 246 90
830 963 89
832 993 96
832 755 27
833 476 88
834 797 61
834 489 7
835 833 83
836 949 24
841 776 86
844 333 71
848 909 17
851 944 70
852 369 54
857 722 92
858 578 92
864 592 54
866 404 98
870 663 64
871 725 72
871 57 63
874 491 27
874 359 92
878 187 71
879 903 81
881 77 88
881 789 74
882 546 13
883 567 36
885 142 53
885 862 20
885 755 51
887 176 40
889 873 30
896 999 80
897 854 36
898 485 39
902 559 40
904 140 69
910 293 92
